,log2FoldChange
ENSG00000006075,NA
ENSG00000006114,-0.505833684221023
ENSG00000006116,NA
ENSG00000006118,-0.466807575225782
ENSG00000006125,0.043804870458529
ENSG00000006128,0.120971849060098
ENSG00000006194,0.103010414342891
ENSG00000006210,0.620774835682849
ENSG00000006282,-0.10803195125449
ENSG00000006283,-0.91791501186263
ENSG00000006327,-0.110706129583566
ENSG00000006377,NA
ENSG00000006432,-0.132913364473911
ENSG00000006451,-0.546700923280916
ENSG00000006453,-0.194432710822559
ENSG00000006459,0.0124098917050764
ENSG00000006468,-0.219467689206662
ENSG00000006530,0.00440160297034008
ENSG00000006534,0.376770507748002
ENSG00000006555,NA
ENSG00000006576,-0.411814500968293
ENSG00000006606,-0.0496892342993119
ENSG00000006607,0.569243047529852
ENSG00000006611,NA
ENSG00000006625,-0.130854307067587
ENSG00000006634,-0.338047960174078
ENSG00000006638,-0.58559580585303
ENSG00000006652,-0.0489120134018033
ENSG00000006659,NA
ENSG00000006695,0.223956478163871
ENSG00000006704,-0.186507017975272
ENSG00000006712,-0.205343485906685
ENSG00000006715,-0.0558318328694207
ENSG00000006740,-0.0100951927973887
ENSG00000006744,0.158807695139477
ENSG00000006747,0.0236026863682182
ENSG00000006756,0.0192850674791187
ENSG00000006757,0.0132378636407351
ENSG00000006788,1.05133810097233
ENSG00000006831,0.23840091742308
ENSG00000006837,-0.557780913543768
ENSG00000007001,-0.326736811534618
ENSG00000007038,0.0252113731349386
ENSG00000007047,0.0889263436045971
ENSG00000007062,-0.0376885196347709
ENSG00000007080,0.239597004667255
ENSG00000007129,NA
ENSG00000007168,0.1062530831104
ENSG00000007171,-0.0998540225553333
ENSG00000007174,-0.132999535773725
ENSG00000007202,-0.00136370129898851
ENSG00000007216,NA
ENSG00000007237,-0.433053234985733
ENSG00000007255,0.253931413086318
ENSG00000007264,0.0411875243432992
ENSG00000007306,NA
ENSG00000007312,0.146150981205837
ENSG00000007314,-0.098162729077402
ENSG00000007341,0.154276861321969
ENSG00000007350,NA
ENSG00000007372,0.221073660049447
ENSG00000007376,0.114502340240105
ENSG00000007384,0.0708606667357501
ENSG00000007392,-0.171108737291321
ENSG00000007402,0.338383131834653
ENSG00000007516,0.244922794694377
ENSG00000007520,0.110035737074787
ENSG00000007541,0.160812708360485
ENSG00000007545,0.0921974837733939
ENSG00000007866,0.571631730589438
ENSG00000007908,NA
ENSG00000007923,0.033129698896292
ENSG00000007933,0.114162817185748
ENSG00000007944,-0.483049115304145
ENSG00000007952,0.422313885291986
ENSG00000007968,0.417193100000368
ENSG00000008018,0.0423053445108171
ENSG00000008056,0.505357211953186
ENSG00000008083,0.437582742784073
ENSG00000008086,-0.176300219225353
ENSG00000008118,-0.0943501698755303
ENSG00000008128,-0.160984455567546
ENSG00000008130,0.766913730695873
ENSG00000008196,0.0279003645949991
ENSG00000008197,NA
ENSG00000008226,0.0268583372042246
ENSG00000008256,1.12588907969708
ENSG00000008277,-0.239232522228594
ENSG00000008282,0.274451986575411
ENSG00000008283,0.0124567613058853
ENSG00000008294,-0.0290962433131665
ENSG00000008300,0.245321244175881
ENSG00000008311,1.05685012182563
ENSG00000008323,0.358738763874422
ENSG00000008324,0.49393416311018
ENSG00000008382,0.0762442285459378
ENSG00000008394,0.056417123806449
ENSG00000008405,0.0749828230463127
ENSG00000008438,0.606271659243724
ENSG00000008441,-0.317741827763411
ENSG00000008513,-0.534782289476415
ENSG00000008516,-0.233055603688518
ENSG00000008517,-0.658994074157322
ENSG00000008710,0.466433554717341
ENSG00000008735,0.337124647944573
ENSG00000008838,-0.0214342670161046
ENSG00000008853,0.539069208224744
ENSG00000008869,0.0427986720693418
ENSG00000008952,0.16917634067041
ENSG00000008988,-0.0323223134038429
ENSG00000009307,0.00851879130472207
ENSG00000009335,0.205664365842166
ENSG00000009413,1.06931111188496
ENSG00000009694,-0.272988321336153
ENSG00000009709,NA
ENSG00000009724,-0.379273882101936
ENSG00000009765,0.593160550016868
ENSG00000009780,0.547698860735303
ENSG00000009790,-0.18818615027871
ENSG00000009830,0.085590830529394
ENSG00000009844,-0.0535804837475311
ENSG00000009950,0.501402172029932
ENSG00000009954,-0.0424018018986786
ENSG00000010017,0.706875835509005
ENSG00000010030,-0.647808048013887
ENSG00000010072,-0.0640676649877041
ENSG00000010165,-0.024057206862564
ENSG00000010219,-0.229068502275
ENSG00000010244,0.116173230723467
ENSG00000010256,0.460455026917878
ENSG00000010270,0.0449273403567768
ENSG00000010278,0.530692805570356
ENSG00000010282,NA
ENSG00000010292,0.0311210407587951
ENSG00000010295,-0.0663788603013766
ENSG00000010310,-0.835138297213363
ENSG00000010318,-0.00765581204270466
ENSG00000010319,0.000746139251544516
ENSG00000010322,-0.257184335340664
ENSG00000010327,0.101281607287494
ENSG00000010361,0.146248513851502
ENSG00000010379,-0.04322726029089
ENSG00000010404,0.192870758941194
ENSG00000010438,0.0522304478382741
ENSG00000010539,-0.116744312874603
ENSG00000010610,-0.13923913362667
ENSG00000010626,-0.234164479778532
ENSG00000010671,0.00824780399922345
ENSG00000010704,-0.139950006887439
ENSG00000010803,-0.00568172546899036
ENSG00000010810,0.0518004948727762
ENSG00000010818,-0.340696038489563
ENSG00000010932,0.142073617048628
ENSG00000011007,0.174591431255903
ENSG00000011009,0.21737139908518
ENSG00000011021,0.092487734719559
ENSG00000011028,-0.220674315093794
ENSG00000011052,NA
ENSG00000011083,-0.0392912304518586
ENSG00000011105,0.272384958472332
ENSG00000011114,0.0600149898728785
ENSG00000011132,0.104133784629981
ENSG00000011143,-0.290478627852111
ENSG00000011198,1.01993649620932
ENSG00000011201,-0.0576316366889279
ENSG00000011243,-0.179578049404422
ENSG00000011258,-0.291790456628963
ENSG00000011260,0.236325421399942
ENSG00000011275,0.013594882868508
ENSG00000011295,0.127709428336495
ENSG00000011304,0.338948180260084
ENSG00000011332,0.121788343159228
ENSG00000011347,-0.85940826368889
ENSG00000011376,0.0296176986502007
ENSG00000011405,0.34172198843275
ENSG00000011422,0.0328134850285326
ENSG00000011426,-0.0121287548338347
ENSG00000011451,0.0803823930969068
ENSG00000011454,0.429810609735852
ENSG00000011465,-0.0886647213874953
ENSG00000011478,0.658005763616591
ENSG00000011485,0.540576826469843
ENSG00000011523,0.155470431513047
ENSG00000011566,0.777897481485085
ENSG00000011590,0.0994264414747774
ENSG00000011600,0.0284300707778958
ENSG00000011638,0.109776199957494
ENSG00000011677,0.0411875243432992
ENSG00000012048,-1.15126652645265
ENSG00000012061,0.0170416977680624
ENSG00000012124,0.0741272446873749
ENSG00000012171,-0.70711905986225
ENSG00000012174,0.116817121970459
ENSG00000012211,0.174970599739835
ENSG00000012223,0.0363324799994578
ENSG00000012232,0.0924415895545903
ENSG00000012504,0.0411875243432992
ENSG00000012660,0.405639077614389
ENSG00000012779,0.0741272446873749
ENSG00000012817,-0.0209398465872357
ENSG00000012822,0.4056621236357
ENSG00000012963,-0.107459643709819
ENSG00000012983,-0.094958346855997
ENSG00000013016,0.475257982449754
ENSG00000013275,0.135844440675192
ENSG00000013288,0.0667347555786032
ENSG00000013293,-2.32764708579006
ENSG00000013297,-1.53752549560719
ENSG00000013306,-0.0129456326191671
ENSG00000013364,0.134802818576709
ENSG00000013374,0.162513399736404
ENSG00000013375,-0.264025244552416
ENSG00000013392,-0.254420107475125
ENSG00000013441,0.253456214964014
ENSG00000013503,0.0966699894352494
ENSG00000013523,-0.300794307940333
ENSG00000013561,0.310003604714152
ENSG00000013563,0.00499762981527891
ENSG00000013573,-0.444303951027473
ENSG00000013583,0.381748568769867
ENSG00000013588,-0.138649926750221
ENSG00000013619,0.338801743031793
ENSG00000013725,NA
ENSG00000013810,0.120547057546162
ENSG00000014123,-0.105463803858028
ENSG00000014138,-0.209485874634189
ENSG00000014164,0.00190461651825438
ENSG00000014216,0.263476535622866
ENSG00000014257,-0.462796569314041
ENSG00000014641,-0.0713550807945317
ENSG00000014824,0.133621589442896
ENSG00000014914,-0.397578026114608
ENSG00000014919,-0.084485097113733
ENSG00000015133,0.306835038344068
ENSG00000015153,0.388010999024943
ENSG00000015171,-0.0301037925088053
ENSG00000015285,-0.673031630487756
ENSG00000015413,0.7712390905178
ENSG00000015475,0.000110930290192424
ENSG00000015479,-0.145299669654107
ENSG00000015520,-1.38178688858714
ENSG00000015532,0.0493976354511352
ENSG00000015568,-0.207712462155477
ENSG00000015592,0.348704105195529
ENSG00000015676,0.029451557578714
ENSG00000016082,NA
ENSG00000016391,-1.51630957198161
ENSG00000016402,-0.4781237970998
ENSG00000016490,0.00824780399922348
ENSG00000016602,-0.0246919163448523
ENSG00000016864,0.0847719210809372
ENSG00000017260,-0.14693236540134
ENSG00000017373,0.178527864683044
ENSG00000017427,-0.262617930400177
ENSG00000017483,-0.856806369435533
ENSG00000017621,-0.1932236893561
ENSG00000017797,0.55540404626564
ENSG00000018189,-0.304906021762299
ENSG00000018236,0.348656312793755
ENSG00000018280,-0.00645200629359051
ENSG00000018408,0.10807154575819
ENSG00000018510,0.146517622860249
ENSG00000018607,-0.0246919163448523
ENSG00000018610,-0.107841984684079
ENSG00000018625,-0.34178964087057
ENSG00000018699,0.00535378813749925
ENSG00000018869,-0.0758099930288238
ENSG00000019102,0.19625893328266
ENSG00000019144,0.354527588545972
ENSG00000019169,0.0741272446873749
ENSG00000019186,-1.6164047972983
ENSG00000019485,0.399220395347948
ENSG00000019505,NA
ENSG00000019549,0.152392894010437
ENSG00000019582,-0.436350788969148
ENSG00000019991,-0.904809251706302
ENSG00000019995,0.901176609312527
ENSG00000020129,-0.476502105141391
ENSG00000020181,-0.315236070520139
ENSG00000020219,-0.057631636688928
ENSG00000020256,-0.275745196405721
ENSG00000020426,0.056383835925545
ENSG00000020577,1.16439873155194
ENSG00000020633,0.125165819580362
ENSG00000020922,0.0537389213248925
ENSG00000021300,-0.305397985757211
ENSG00000021355,0.581580346093359
ENSG00000021461,0.0411875243432992
ENSG00000021488,-0.035677792672084
ENSG00000021574,0.0840383130650774
ENSG00000021645,1.11728664366783
ENSG00000021762,0.397311856491963
ENSG00000021776,0.22325340794261
ENSG00000021826,-0.29068807291238
ENSG00000021852,NA
ENSG00000022267,0.4833818247986
ENSG00000022277,0.101896260027416
ENSG00000022355,NA
ENSG00000022556,0.0172110651065255
ENSG00000022567,0.267724501636876
ENSG00000022840,0.272828012467598
ENSG00000022976,-0.184954654156843
ENSG00000023041,0.18901395298922
ENSG00000023171,-0.502830168810627
ENSG00000023191,0.133862900392615
ENSG00000023228,0.121650980598743
ENSG00000023287,0.122805091015694
ENSG00000023318,0.225884115012984
ENSG00000023330,-0.257859476944745
ENSG00000023445,0.473892180473433
ENSG00000023516,-0.050152302412408
ENSG00000023572,0.246006263386223
ENSG00000023608,0.675935694105065
ENSG00000023697,0.312353637104925
ENSG00000023734,0.267908088779557
ENSG00000023839,0.265076611354785
ENSG00000023892,-0.195477011684735
ENSG00000023902,0.397441579652181
ENSG00000023909,1.16790861439122
ENSG00000024048,0.130426212877239
ENSG00000024422,0.170757212599041
ENSG00000024526,-0.208569750977917
ENSG00000024862,0.163216235250733
ENSG00000025039,0.447980430418014
ENSG00000025156,-0.233380502974608
ENSG00000025293,-0.112289512516721
ENSG00000025423,-1.52064421030984
ENSG00000025434,0.156077555865001
ENSG00000025708,1.09598763557497
ENSG00000025770,-0.0845936826608179
ENSG00000025772,-0.476027006668233
ENSG00000025796,-0.0498617749830144
ENSG00000025800,0.14499932998685
ENSG00000026025,-0.355135921483065
ENSG00000026036,-0.305169033795299
ENSG00000026103,-0.0437199592832489
ENSG00000026297,-0.418139022506413
ENSG00000026508,-0.159275485359783
ENSG00000026559,-0.410579754159561
ENSG00000026652,-0.151714593535338
ENSG00000026751,0.0411875243432992
ENSG00000026950,-0.857392201040597
ENSG00000027001,-0.331014504945801
ENSG00000027075,0.805054154200102
ENSG00000027644,-0.251058355669534
ENSG00000027697,0.391083342869725
ENSG00000027847,-0.118480953323663
ENSG00000027869,-0.0376885196347709
ENSG00000028116,0.193559352379059
ENSG00000028137,0.751369478235375
ENSG00000028203,0.00599940753199182
ENSG00000028277,-1.39251064348545
ENSG00000028310,0.0233524373309085
ENSG00000028528,-0.0720921861663925
ENSG00000028839,-0.327230673636375
ENSG00000029153,-0.0305976122139916
ENSG00000029363,-0.0460455397820878
ENSG00000029364,-0.114131997270497
ENSG00000029534,-0.15509689665105
ENSG00000029559,-0.112223284204597
ENSG00000029639,-0.0142054019765335
ENSG00000029725,0.00681133517800667
ENSG00000029993,-0.362292348646612
ENSG00000030066,0.0402136006771211
ENSG00000030110,0.131671610706849
ENSG00000030304,0.0644883312308825
ENSG00000030419,0.333333732540549
ENSG00000030582,-0.178848529909873
ENSG00000031003,0.0452420803368588
ENSG00000031081,-0.631919261458839
ENSG00000031544,0.0327977222861942
ENSG00000031691,0.0941779097539244
ENSG00000031698,-0.526527458985782
ENSG00000031823,-0.384769591470836
ENSG00000032219,0.010063381795093
ENSG00000032389,0.0328440849208909
ENSG00000032444,0.183476336686933
ENSG00000032742,-0.620365493035866
ENSG00000033011,0.046957094513744
ENSG00000033030,0.11295914737058
ENSG00000033050,0.333231640178534
ENSG00000033100,0.0602431124752278
ENSG00000033122,-0.260454371939512
ENSG00000033170,-0.262007827913013
ENSG00000033178,-0.228939242360888
ENSG00000033327,0.368973496717494
ENSG00000033627,0.43471499506891
ENSG00000033800,-0.0405534992828561
ENSG00000033867,-0.893543220724398
ENSG00000034053,0.0347865644536514
ENSG00000034063,-0.439467143856207
ENSG00000034152,0.784561456164397
ENSG00000034239,-0.143309863199718
ENSG00000034510,-0.121631510898484
ENSG00000034533,-0.629830408283419
ENSG00000034677,0.199677465141767
ENSG00000034693,-0.385696463248915
ENSG00000034713,0.365082140299227
ENSG00000034971,0.0421929498905372
ENSG00000035115,-0.453170074945398
ENSG00000035141,0.19066356409088
ENSG00000035403,0.790336202717001
ENSG00000035499,-0.537715617812552
ENSG00000035664,1.18112416765804
ENSG00000035681,-0.331483111989588
ENSG00000035687,-0.156669813002905
ENSG00000035720,NA
ENSG00000035862,0.146706980226851
ENSG00000035928,-0.142388607058071
ENSG00000036054,0.178741611275688
ENSG00000036257,0.00757424074094113
ENSG00000036448,-0.241556182673119
ENSG00000036473,-0.0246919163448523
ENSG00000036530,-0.405584426821929
ENSG00000036549,-0.0173495702490005
ENSG00000036565,NA
ENSG00000036672,0.399197801818362
ENSG00000036828,NA
ENSG00000037042,-0.132862732689164
ENSG00000037241,0.306714703221912
ENSG00000037280,0.229449019799077
ENSG00000037474,0.130310775573332
ENSG00000037637,0.355764330165
ENSG00000037749,0.235466994441855
ENSG00000037757,0.0794220916803746
ENSG00000037897,-0.179030385683547
ENSG00000037965,-0.107029778037014
ENSG00000038002,-0.227337807396309
ENSG00000038210,0.0100824972702047
ENSG00000038219,-0.085503351891629
ENSG00000038274,0.513899102350698
ENSG00000038295,-0.31663541357168
ENSG00000038358,0.105375049255556
ENSG00000038382,-0.18522070972637
ENSG00000038427,-0.34433175096483
ENSG00000038532,-0.212030296544763
ENSG00000038945,-0.449601969649858
ENSG00000039068,0.0956467147836719
ENSG00000039123,-0.0139081841774559
ENSG00000039139,-0.125105918597419
ENSG00000039319,-0.116170221853553
ENSG00000039523,0.217514470684892
ENSG00000039537,0.84331519732156
ENSG00000039560,0.5054851135687
ENSG00000039600,0.203240316360758
ENSG00000039650,-0.276805797643493
ENSG00000039987,0.295076634861642
ENSG00000040199,0.326309076574076
ENSG00000040275,-0.200906726168262
ENSG00000040341,-0.0741829621090379
ENSG00000040487,0.283451371061667
ENSG00000040531,-0.00431487332605974
ENSG00000040608,-0.35961272136817
ENSG00000040633,-0.233874236648816
ENSG00000040731,-1.02191677683654
ENSG00000040933,-0.00545214822499965
ENSG00000041353,-0.586344366174755
ENSG00000041357,-0.022132025834656
ENSG00000041515,1.19316641895139
ENSG00000041802,0.184092232546199
ENSG00000041880,-0.0586015652101808
ENSG00000041982,-0.497656202223831
ENSG00000041988,-0.0985635013064201
ENSG00000042062,0.131345822515025
ENSG00000042088,-0.399501460790038
ENSG00000042286,0.69762816434143
ENSG00000042304,0.00824780399922349
ENSG00000042317,-0.309618073530437
ENSG00000042429,0.197055114905346
ENSG00000042445,-0.0385257462127035
ENSG00000042493,-0.00351974403994808
ENSG00000042753,0.229046684194179
ENSG00000042781,-0.281425145880715
ENSG00000042813,NA
ENSG00000042832,0.171136426915741
ENSG00000042980,0.433870738216243
ENSG00000043039,NA
ENSG00000043093,0.108904345711861
ENSG00000043143,0.312276178513416
ENSG00000043355,NA
ENSG00000043462,NA
ENSG00000043514,-0.0566791213563494
ENSG00000043591,NA
ENSG00000044012,NA
ENSG00000044090,-0.500748803685544
ENSG00000044115,0.112484009117169
ENSG00000044446,0.268064125944935
ENSG00000044459,-0.265204167684215
ENSG00000044524,0.107599550245382
ENSG00000044574,0.0997901498301531
ENSG00000046604,-0.120500634590489
ENSG00000046647,0.0446643670643345
ENSG00000046651,0.0543529256512938
ENSG00000046653,1.26295994149877
ENSG00000046774,-0.0670674808156333
ENSG00000046889,-0.499900283301341
ENSG00000047056,0.276922414286663
ENSG00000047188,0.183275706791307
ENSG00000047230,-0.0182032393478533
ENSG00000047249,0.0531515127555656
ENSG00000047315,-0.0187640041878496
ENSG00000047346,-0.0513741273391313
ENSG00000047365,-0.260737337951916
ENSG00000047410,-0.015268602486327
ENSG00000047457,0.393227767600665
ENSG00000047578,-0.0709014475434659
ENSG00000047579,0.036373760687374
ENSG00000047597,0.180741162234863
ENSG00000047617,0.303156373304228
ENSG00000047621,-0.344012838602661
ENSG00000047634,0.219872291846513
ENSG00000047644,0.32084918334867
ENSG00000047648,0.0362800395748494
ENSG00000047662,0.173453711177295
ENSG00000047849,0.134855441760043
ENSG00000047932,-0.180284879143472
ENSG00000047936,-0.00766682039574115
ENSG00000048028,0.0316145801126563
ENSG00000048052,-0.450589590981268
ENSG00000048140,0.228828874926693
ENSG00000048162,0.506692323330032
ENSG00000048342,-0.39685008538845
ENSG00000048392,-0.0703872455666788
ENSG00000048405,0.375745605903442
ENSG00000048462,0.00824780399922345
ENSG00000048471,0.438302496083295
ENSG00000048540,1.11117560331168
ENSG00000048544,-0.0540333901589134
ENSG00000048545,-0.595814761174697
ENSG00000048649,0.00270701025452246
ENSG00000048707,0.626970919540136
ENSG00000048740,0.884633880530148
ENSG00000048828,0.121482193015074
ENSG00000048991,-0.22068226451406
ENSG00000049089,-0.709453825850448
ENSG00000049130,-0.0699521664414092
ENSG00000049167,-0.249564330156189
ENSG00000049192,-0.314652865812359
ENSG00000049239,0.377284371545461
ENSG00000049245,0.155986141806203
ENSG00000049246,-1.90767628046829
ENSG00000049247,-0.138044502613017
ENSG00000049249,-0.057631636688928
ENSG00000049283,-0.583831589011795
ENSG00000049319,0.17761935987983
ENSG00000049323,0.68269161893006
ENSG00000049449,-0.0696092189834954
ENSG00000049540,0.783346617830665
ENSG00000049541,-0.348370811202526
ENSG00000049618,-0.135542886561714
ENSG00000049656,0.257050037949548
ENSG00000049759,-1.0172938095958
ENSG00000049768,0.185633013544393
ENSG00000049769,-0.194070498868935
ENSG00000049860,-0.00333458968790222
ENSG00000049883,-0.255529958832019
ENSG00000050030,NA
ENSG00000050130,0.0272895501012809
ENSG00000050165,0.240134317839565
ENSG00000050327,0.0238699268508855
ENSG00000050344,-0.020319725810732
ENSG00000050393,0.396240185110929
ENSG00000050405,-0.215738162298287
ENSG00000050426,-0.0912892581823436
ENSG00000050438,-0.238133658546481
ENSG00000050555,-0.0118002268275293
ENSG00000050628,-0.280123238129136
ENSG00000050730,-0.154797328267823
ENSG00000050748,-0.0107993284624965
ENSG00000050767,0.343113074189614
ENSG00000050820,0.163459213640478
ENSG00000051009,0.0257688331837533
ENSG00000051108,0.737672602452651
ENSG00000051128,-0.178453558622714
ENSG00000051180,0.707838923076589
ENSG00000051341,-0.353476590872781
ENSG00000051382,0.359983699945193
ENSG00000051523,0.248912674286216
ENSG00000051596,-0.177241553686172
ENSG00000051620,0.405700240763227
ENSG00000051825,-0.430845230940583
ENSG00000052126,-0.288074971234546
ENSG00000052344,-0.0246919163448523
ENSG00000052723,-0.0507342575736192
ENSG00000052749,0.0437500880578823
ENSG00000052795,0.177503466775224
ENSG00000052802,-0.105440021831213
ENSG00000052841,-0.0986488287430905
ENSG00000052850,-0.160520091362322
ENSG00000053108,NA
ENSG00000053254,0.387897026942638
ENSG00000053328,-0.465961169674874
ENSG00000053371,0.0881024403579339
ENSG00000053372,0.251480152616253
ENSG00000053438,-0.180938175446384
ENSG00000053501,-0.174028611321812
ENSG00000053524,0.291020209603291
ENSG00000053702,-0.183567642044459
ENSG00000053747,0.789350162474485
ENSG00000053770,-0.00151743126789423
ENSG00000053900,0.0313615030097708
ENSG00000053918,0.00824780399922348
ENSG00000054116,0.0878916793983538
ENSG00000054118,-0.190806503855949
ENSG00000054148,-0.2143017390395
ENSG00000054179,-0.569134804237751
ENSG00000054219,0.598143542980437
ENSG00000054267,-0.0930737405880885
ENSG00000054277,0.705088588286285
ENSG00000054282,-0.332290623365483
ENSG00000054356,-0.358795549038184
ENSG00000054392,-0.24522544666666
ENSG00000054523,0.169196426139336
ENSG00000054598,-0.153531245849211
ENSG00000054611,0.0315636369765321
ENSG00000054654,0.164869465719036
ENSG00000054690,-0.311548316773328
ENSG00000054793,0.178385504773608
ENSG00000054796,-0.0246919163448523
ENSG00000054803,NA
ENSG00000054938,-1.05210965045274
ENSG00000054965,-0.24589104249053
ENSG00000054967,-0.199662573017786
ENSG00000054983,0.289647269830151
ENSG00000055044,0.165901416760431
ENSG00000055070,0.238882660763958
ENSG00000055118,-0.412207859658071
ENSG00000055130,0.27743128035262
ENSG00000055147,0.0609420706315212
ENSG00000055163,-0.909406393176847
ENSG00000055208,0.0751522167521834
ENSG00000055211,0.264809183652558
ENSG00000055332,-0.153093859077923
ENSG00000055483,0.187426103388095
ENSG00000055609,-0.188836353492059
ENSG00000055732,-0.292867476915563
ENSG00000055813,-0.705542403663625
ENSG00000055917,0.137492981904029
ENSG00000055950,-0.0650722001406602
ENSG00000055955,0.0898285872896475
ENSG00000055957,-0.0246919163448523
ENSG00000056050,-0.162781087771143
ENSG00000056097,0.157685777100055
ENSG00000056277,-0.385368874065313
ENSG00000056291,-0.0246919163448523
ENSG00000056487,NA
ENSG00000056558,0.263175835172806
ENSG00000056586,0.362421271325847
ENSG00000056661,-0.27891720135743
ENSG00000056678,NA
ENSG00000056736,-0.897124709579638
ENSG00000056972,0.238057775204628
ENSG00000056998,0.25118620370432
ENSG00000057019,-0.0560644586738042
ENSG00000057149,NA
ENSG00000057252,0.638673012716128
ENSG00000057294,0.919759964577402
ENSG00000057468,-0.355832998368227
ENSG00000057593,0.327734234225166
ENSG00000057608,0.0013782991253671
ENSG00000057657,1.10621877044164
ENSG00000057663,0.263583890222522
ENSG00000057704,0.66174775298882
ENSG00000057757,-0.063181571647369
ENSG00000057935,-0.195332479584031
ENSG00000058056,0.359175978527025
ENSG00000058063,0.357917415881825
ENSG00000058085,0.832382559281625
ENSG00000058091,0.000566021643779888
ENSG00000058262,-0.286347411600253
ENSG00000058272,0.317638481419552
ENSG00000058335,0.0902692711063234
ENSG00000058404,-0.229518280126151
ENSG00000058453,0.0393825466172371
ENSG00000058600,0.255550675079502
ENSG00000058668,-0.131044366150217
